urn,pears,la_number,easting,northing
100495,0.156946004,207,524226,180422
100496,0.930528586,207,527685,178707
100497,0.071604422,207,525573,179680
100498,0.648028577,207,525509,178268
100499,0.383290672,207,524221,182203
100500,0.722116428,207,526204,177810
100502,0.793826103,207,527685,178707
100503,0.859963791,207,523952,181650
100504,0.795689049,207,526486,178667
100505,0.992782323,207,523928,181778
100506,0.95395273,207,524213,179844
100548,0.019265085,207,552900,168581
130411,0.163493272,207,523928,181778
100550,0.475647662,208,529788,175189
100551,0.774156899,208,531443,174834
100552,0.276049826,208,531333,178743
100554,0.655336015,208,530740,173735
140908,0.369397357,208,531571,177681
100556,0.119261406,208,530994,177580
100560,0.734422182,208,529473,175582
100564,0.675921983,208,529288,170025
100566,0.98519016,208,529067,176207
100567,0.027293353,208,529164,173386
100572,0.021590849,208,531996,175145
137430,0.256821572,208,531185,179665
100574,0.908590352,208,532856,171503
100576,0.370613847,208,529999,176292
100577,0.365497616,208,533512,170963
100578,0.51043651,208,530256,173786
100584,0.599228904,208,530757,174948
100585,0.34858098,208,530786,171686
100586,0.790127466,208,529567,173153
100588,0.609653494,208,530783,178344
100589,0.397069012,208,531071,178909
100590,0.302779584,208,529774,169818
100591,0.470656867,208,530264,177481
100597,0.549593956,208,532733,172061
100604,0.263041534,208,530243,177187
100608,0.911411272,208,531042,172902
131247,0.618338801,208,529358,174325
131340,0.162926119,208,531580,175364
131335,0.629604112,208,532270,173625
131824,0.613648934,208,531122,172473
131874,0.471370759,208,531198,177886
100582,0.019500414,208,530821,175861
133315,0.994379768,208,530026,174783
133584,0.449699654,208,531716,176212
133662,0.694391628,208,531108,174289
100609,0.615511574,208,531312,178655
100610,0.808809152,208,531482,176949
100611,0.390411744,208,530642,173424
100612,0.473797668,208,528789,175481
100613,0.586579637,208,530518,176047
100614,0.399999645,208,531782,177253
100616,0.937645813,208,531761,174518
100617,0.990481072,208,529711,171437
100618,0.777831443,208,532197,171468
100619,0.075892281,208,530822,177860
100620,0.091205099,208,532228,175575
100621,0.663986633,208,530488,177314
100622,0.239247706,208,530854,173742
100623,0.847202468,208,531142,175926
135614,0.362816131,208,529997,174534
139659,0.525878034,208,531176,179406
136450,0.757724294,208,530694,176630
100628,0.259947632,208,529156,173718
100629,0.636091283,208,530677,177967
137295,0.932753278,208,530706,174698
100631,0.124697616,208,529666,173374
100632,0.818558935,208,530403,171145
100633,0.423409258,208,530019,170582
100634,0.035051323,208,530994,177078
136288,0.969743329,208,530946,176761
100636,0.987518637,208,529453,174993
100637,0.673076371,208,529156,173718
100638,0.347382169,208,530893,171230
100640,0.820221064,208,530917,177632
137966,0.524710557,208,531466,173379
100642,0.908692352,208,531386,180308
100643,0.921499832,208,532287,173727
100667,0.346476374,209,536620,177982
100668,0.971404597,209,536087,175107
100671,0.392308997,209,536254,172024
100672,0.456065353,209,537455,172415
100673,0.300585017,209,540086,173628
100676,0.429395491,209,540545,172843
100677,0.38245188,209,536070,173436
100678,0.876051726,209,536327,178410
100679,0.083749064,209,539164,171810
100680,0.030716616,209,535632,176449
100681,0.263817612,209,537494,171845
100683,0.695696841,209,539371,172482
100685,0.719818101,209,536930,177681
100686,0.95616096,209,536607,171749
100687,0.75797614,209,538752,174369
100688,0.819629173,209,537465,173958
100689,0.880333023,209,536277,175737
100690,0.315263828,209,534761,172179
100691,0.653684385,209,535468,176916
100692,0.759132311,209,540149,171655
100693,0.857747874,209,539350,174478
100695,0.937117773,209,537042,176596
100696,0.734895813,209,541432,171932
100699,0.675640759,209,539405,171393
100700,0.4318512,209,536828,173191
100702,0.867985045,209,539055,173451
100703,0.440965431,209,539055,173451
100704,0.749419753,209,536370,174094
100705,0.321972025,209,536370,174094
137441,0.797341777,209,537350,177243
100707,0.713752905,209,538945,172742
100708,0.584511471,209,538945,172742
100709,0.964941391,209,539376,176050
100710,0.809397011,209,535292,173813
100711,0.093710755,209,534813,172681
100713,0.579354939,209,536827,176434
100714,0.21506169,209,534976,173432
100715,0.557544836,209,535860,172698
100717,0.273650326,209,539672,174662
100718,0.835960548,209,536338,172903
100719,0.492443002,209,539253,176405
100720,0.993650312,209,536414,175169
100721,0.612061319,209,535515,172758
100722,0.963429527,209,539874,171640
100723,0.806049591,209,535188,172518
100724,0.939198615,209,539396,175309
100725,0.939611102,209,537997,171320
100726,0.075477119,209,535296,172015
100727,0.47339757,209,536349,176875
100728,0.824467828,209,538325,171872
100729,0.857893697,209,537224,177395
100730,0.408026669,209,537996,174766
100731,0.590846591,209,536204,171826
100732,0.112287656,209,536259,171533
100733,0.772281379,209,538324,175333
100734,0.551445009,209,537294,176489
100735,0.408240298,209,539444,174637
100737,0.077354288,209,536366,173525
100738,0.761915914,209,539752,173994
100739,0.906976003,209,537933,173402
100753,0.449345662,209,536124,175140
135073,0.819408682,209,535996,176135
100766,0.889076406,209,537621,171451
130416,0.763153995,209,538842,175760
100767,0.699099538,210,533656,179025
100768,0.665267324,210,533573,177117
100769,0.15053983,210,533578,172013
100770,0.338761186,210,534515,176877
100771,0.649036834,210,533239,177431
138270,0.42585091,210,533824,176735
100774,0.497266757,210,535335,179689
100775,0.100121922,210,534099,175989
100780,0.616610507,210,534575,177497
100781,0.745355725,210,532214,179740
100782,0.437600998,210,533624,177958
100783,0.498269628,210,532228,177123
100784,0.893558564,210,531943,178490
100785,0.690321384,210,532360,176513
100786,0.609235163,210,533269,175790
136665,0.059029842,210,532981,174097
100790,0.248736393,210,534340,174098
100791,0.369705021,210,533244,179211
100793,0.589324372,210,533949,174413
100794,0.645335189,210,535369,176100
100795,0.363682925,210,535190,178023
100796,0.42749972,210,535830,175214
140507,0.589244633,210,534743,176680
100798,0.567056547,210,532224,177728
100800,0.80129012,210,531692,178119
100801,0.276496545,210,533366,172068
100802,0.998717984,210,532889,176333
100803,0.850624734,210,532828,177988
137648,0.986304317,210,536369,179935
100808,0.866254416,210,534423,179618
100809,0.214984549,210,532525,178379
100810,0.973594107,210,535484,178762
100811,0.377484651,210,533094,179804
100812,0.227704425,210,534910,179032
100813,0.942891572,210,533570,179825
100814,0.883162443,210,533028,178832
100815,0.726452287,210,532497,178834
100817,0.99507366,210,534192,178136
100818,0.73365747,210,535095,177517
100819,0.664452203,210,535897,179666
100821,0.880205591,210,533566,176849
130918,0.904507224,210,533015,175043
137413,0.290573308,210,534433,177091
131843,0.955140332,210,532820,177188
132022,0.198221978,210,533707,175360
100822,0.130666892,210,533647,178966
100823,0.917107112,210,533016,174251
100824,0.739638963,210,532857,178548
100825,0.343008669,210,533921,176804
100826,0.779018879,210,534323,177446
100827,0.793796348,210,533123,177455
100828,0.684079823,210,531508,179409
100829,0.199262786,210,534223,179425
100830,0.267396977,210,534049,175559
100831,0.987165984,210,532297,178577
100833,0.846862387,210,535330,179141
100834,0.233322945,210,532485,179893
100835,0.001377401,210,531616,179248
100836,0.28646922,210,534646,176177
100837,0.500994233,210,535947,180402
100838,0.410934418,210,532078,178089
100839,0.323494554,210,532484,178081
100840,0.768176798,210,532389,179937
100841,0.254715052,210,536038,179747
134903,0.127705181,210,534641,175729
136298,0.756527549,210,532849,174779
100851,0.490318424,210,535351,174032
100852,0.00899075,210,534062,174062
100853,0.439032924,210,532109,177303
100854,0.706016756,210,532109,177303
100855,0.581251549,210,531739,179767
100816,0.9327762,210,531591,179128
131318,0.46411321,210,533192,178386
100878,0.170550558,210,534130,177566
100879,0.210650624,210,532777,179711
100881,0.748071892,210,534329,178851
100886,0.263236054,211,535568,182775
100887,0.127374882,211,535617,182047
100889,0.574424006,211,535593,182316
137016,0.49730755,211,538006,178555
131936,0.580208605,211,535206,181217
133288,0.129277485,211,535266,183334
134160,0.550498222,211,536787,182835
100892,0.769813379,211,537853,182838
100893,0.327649351,211,533888,181473
100894,0.406843908,211,536206,181504
100895,0.301220246,211,535119,180864
100896,0.185959876,211,536115,183374
100898,0.783043524,211,538254,179195
100900,0.513467385,211,536813,180888
100902,0.236721404,211,535260,182916
100903,0.621991311,211,534743,182456
100906,0.921845766,211,535216,182155
100907,0.876683216,211,534502,182835
100908,0.032470634,211,534427,182833
100912,0.328434953,211,537992,182318
100913,0.591349461,211,537483,181055
100914,0.778242892,211,535051,183434
100915,0.796649321,211,535119,180864
100920,0.326424785,211,537943,181797
137682,0.122533651,211,536504,181262
100922,0.788488302,211,537074,181611
100928,0.618651321,211,538273,180944
100931,0.933249854,211,537259,179545
100932,0.764117708,211,538254,179195
100935,0.696142927,211,534320,180791
100936,0.462491573,211,534344,180251
100937,0.693089914,211,535234,182582
100938,0.847904493,211,536272,181728
100939,0.058440152,211,534732,181144
100940,0.121975825,211,534367,181447
100941,0.595692128,211,535263,181775
100942,0.708601561,211,537579,181154
100943,0.003651613,211,534185,182356
130352,0.642755792,211,537091,179221
131737,0.737059252,211,534299,181195
100944,0.824347788,211,533875,181751
100945,0.259636459,211,536313,182505
100946,0.237737383,211,536632,181305
100949,0.024833137,211,537541,182817
100950,0.16734697,211,534143,182018
100951,0.751576166,211,537362,178752
100953,0.790666523,211,535057,183029
100954,0.257764517,211,538579,178697
100956,0.284805756,211,533939,182322
100958,0.687322502,211,536879,181745
100959,0.312601502,211,534320,180791
100960,0.920943791,211,535063,180371
100961,0.511820808,211,537666,181580
100962,0.446715628,211,533902,181086
137789,0.221938151,211,534008,182708
131023,0.293825564,211,536313,181188
131608,0.306823313,211,537437,182567
100990,0.451096253,212,528360,173530
100991,0.033157746,212,521997,174014
100992,0.509179773,212,526857,176810
100994,0.865917182,212,527840,171331
132077,0.061011558,212,524001,172992
100995,0.257294439,212,528663,173802
140682,0.424505876,212,527035,176960
100996,0.728750546,212,526161,174286
100997,0.721451547,212,526418,173238
137563,0.009671736,212,527681,174732
141303,0.357114192,212,529387,176675
101001,0.951145705,212,524669,175124
101002,0.624915184,212,527103,171838
101003,0.145615225,212,528113,176595
101005,0.805934011,212,526162,172951
101006,0.908754187,212,526881,175971
101007,0.53834239,212,527649,172521
101008,0.464696218,212,528020,171453
101009,0.007542882,212,528505,170892
101010,0.548779794,212,526899,175236
101013,0.461047412,212,523675,175472
101014,0.701053193,212,528402,176123
101016,0.018215451,212,528964,170848
101017,0.470597237,212,528424,173004
101018,0.58918252,212,525248,173488
101019,0.624325088,212,527435,170988
101020,0.635396469,212,528099,176014
101021,0.708535227,212,526650,171795
101022,0.279373819,212,526161,174028
101024,0.259275096,212,525241,174576
101025,0.47891463,212,528515,175503
101026,0.170474023,212,524906,173501
101027,0.346930631,212,524070,173321
101028,0.748095574,212,522909,174502
101029,0.230145423,212,522275,173317
101031,0.89756533,212,524020,173827
101033,0.855507563,212,521816,174000
101034,0.246669705,212,523226,175760
101035,0.190414713,212,527406,175840
101036,0.6481738,212,528154,173676
101037,0.67962763,212,523640,175351
101038,0.674703697,212,522568,173689
101041,0.340223874,212,525950,174606
101042,0.077768412,212,527651,171395
101043,0.204367502,212,526093,174932
101044,0.524344026,212,529322,176967
101045,0.628186864,212,525119,174894
101046,0.068845042,212,523670,175603
101047,0.742389844,212,528296,173119
101048,0.822671113,212,528837,176954
101049,0.794854557,212,524889,173911
101050,0.776231896,212,522257,174642
101051,0.797168617,212,523701,173544
101052,0.195622402,212,528163,172354
131520,0.586023134,212,527416,176084
140985,0.422912243,212,527924,176527
135762,0.624452771,212,527041,176668
101053,0.014977088,212,527431,172548
132173,0.856344827,212,524589,173511
101057,0.558571557,212,528119,171797
101004,0.851483121,212,529388,170794
101012,0.57772256,212,527750,174463
101011,0.731648647,212,527750,174463
101032,0.754027117,212,524238,172951
137005,0.918590059,212,528592,170936
138681,0.146789725,212,523386,174365
101093,0.646922482,212,524284,173151
101094,0.682221665,212,528065,173793
101095,0.315601052,212,639432,167136
101099,0.199964745,212,522805,174823
101102,0.226328031,212,521689,175313
101103,0.975627431,212,526164,172467
131594,0.112684269,212,527169,172937
130422,0.455627143,212,528672,174188
101104,0.882613248,213,529763,178066
101105,0.672178976,213,524835,182642
101106,0.156804811,213,524829,182547
132151,0.309997196,213,527133,182034
137323,0.108968349,213,525556,182007
139824,0.625950562,213,524383,182958
139940,0.183209112,213,529295,178113
101107,0.692481153,213,527092,183132
101108,0.280951455,213,526509,182030
101110,0.541833027,213,525705,181829
101111,0.650665991,213,525311,182561
140050,0.630223405,213,526953,182355
138683,0.266428061,213,529889,178598
101115,0.565418986,213,526535,183794
101116,0.979911702,213,525940,181017
101117,0.837231664,213,527037,183464
101120,0.310627229,213,524394,182467
101121,0.390824344,213,529242,181745
101122,0.112312874,213,529548,179003
101123,0.287460256,213,527459,181362
101124,0.11139717,213,525575,181820
101125,0.826328477,213,525528,183286
101126,0.280903056,213,528421,178462
101127,0.318781428,213,530611,181081
101128,0.426374775,213,527354,182085
101129,0.717180315,213,529064,178013
101130,0.878166727,213,528476,180499
101131,0.795353394,213,529559,180851
101132,0.951890121,213,526422,180910
101133,0.315905377,213,526196,182511
101134,0.193704524,213,524741,183012
101135,0.315571685,213,525683,181957
101136,0.176088518,213,527546,181766
101137,0.354612146,213,525132,181428
101138,0.446952811,213,529827,179261
101139,0.562870285,213,525183,182121
101140,0.209262972,213,528736,179092
101141,0.444331193,213,525889,182081
101142,0.908354725,213,525274,181553
101143,0.516612356,213,528270,181584
101144,0.382994952,213,529206,179068
101146,0.023237963,213,529777,178296
101147,0.064768945,213,527312,181875
137353,0.946665051,213,528296,181984
132816,0.834458878,301,547792,184149
101186,0.285644759,301,547691,184072
140687,0.570691379,301,546744,185292
101188,0.320847998,301,546774,185234
101189,0.575354564,301,545822,184040
101189,0.116938536,301,545822,184040
101189,0.535667665,301,545822,184040
101189,0.193389386,301,545822,184040
101192,0.448111935,301,545828,184731
101193,0.984947458,301,545828,184731
101196,0.937710309,301,544013,184537
101198,0.087608296,301,545104,183966
138684,0.501123982,301,546165,183070
101202,0.634880288,301,550210,183257
101203,0.670109138,301,548410,188015
101206,0.385902691,301,548487,186607
101210,0.13112043,301,548194,189545
101211,0.65500728,301,549365,183556
101212,0.174817118,301,550976,187161
101216,0.179146923,301,550461,184093
101219,0.469016765,301,548573,188552
101220,0.222849653,301,548866,184187
101222,0.978213982,301,547891,186499
101223,0.066200089,301,549383,184397
101224,0.044275815,301,548069,189608
101226,0.048301992,301,549437,186675
101227,0.86676966,301,548794,184928
101228,0.916860869,301,548829,186204
101229,0.769047698,301,547581,186917
101230,0.030322554,301,547522,185528
101231,0.169892737,301,546884,186340
101232,0.957770419,301,550639,184798
130357,0.271284931,301,549230,185430
130340,0.802545407,301,546880,183956
130919,0.513518897,301,548443,184276
131844,0.807940744,301,549595,185391
131845,0.656318835,301,548106,185779
131775,0.335259097,301,544442,183568
101233,0.462314767,301,544043,184012
101234,0.001955275,301,549383,184397
101235,0.004457816,301,544156,183775
101236,0.599044217,301,548737,185898
101237,0.669072769,301,548838,183622
101238,0.812198452,301,547411,185611
101239,0.436123292,301,547206,186684
136431,0.673183734,301,546391,182286
141178,0.33430791,301,548476,188616
101241,0.258294408,301,545828,184731
101245,0.830386702,301,548825,186950
101247,0.836260783,301,549215,187064
131102,0.09235112,301,549068,185966
101251,0.376413703,302,527087,195626
101252,0.759797819,302,528689,194167
101253,0.579725191,302,525668,191761
101254,0.516768057,302,526828,196062
101255,0.625423293,302,526783,194420
136938,0.360278829,302,522029,192076
101258,0.095175171,302,520286,190526
101259,0.888411338,302,523677,189134
101262,0.931367781,302,525598,189486
101263,0.59347767,302,525598,189486
101264,0.40570159,302,528271,194004
101265,0.835712807,302,524390,186337
101266,0.961255538,302,527487,194545
101269,0.913709566,302,521535,189221
101270,0.845965375,302,528083,190944
101271,0.332812926,302,521053,193499
101272,0.731658124,302,526107,196508
139489,0.377519236,302,520522,191904
101274,0.02269463,302,520522,191904
101275,0.717442352,302,523053,191451
101277,0.103292928,302,519523,191548
101278,0.811583898,302,520747,193496
101279,0.363942507,302,523906,196826
101281,0.438634171,302,524978,188877
101282,0.698970956,302,524978,188877
101283,0.0220807,302,520791,190910
138649,0.912345725,302,525422,195265
101285,0.292058161,302,528626,191205
101286,0.921116526,302,528107,192524
101289,0.628401971,302,526921,196783
101290,0.79340161,302,526076,190672
139633,0.719850298,302,522584,187917
101293,0.923219414,302,528377,194732
101294,0.560293404,302,525719,191679
101295,0.703609015,302,525719,191679
101296,0.246542268,302,526149,192370
139817,0.415704638,302,521470,188530
101297,0.862415473,302,526931,191657
101298,0.771031628,302,525135,193224
101299,0.862951681,302,526318,190626
101301,0.231667828,302,524264,195593
101304,0.38844297,302,523382,195582
101309,0.727518772,302,524324,189626
101311,0.814233293,302,522591,189509
101312,0.32466713,302,526761,193616
101313,0.181957623,302,526761,193616
101314,0.147168245,302,527502,195470
131617,0.092553701,302,524174,187396
131970,0.451198498,302,521550,191400
133365,0.34311705,302,520792,189548
101315,0.427529058,302,524872,186340
101316,0.963345217,302,523772,197077
101317,0.449408176,302,526979,189621
101318,0.769012165,302,525232,197563
101319,0.328786253,302,527783,192497
101321,0.376489399,302,526280,193561
101323,0.831037696,302,524746,190949
101324,0.308186851,302,527317,195180
101325,0.613374071,302,528581,192454
101326,0.280993342,302,522534,192785
101327,0.968508643,302,524931,193894
101328,0.636395598,302,527895,196294
101329,0.195875528,302,526917,193833
101330,0.445773186,302,520591,190759
101331,0.360801973,302,526420,190952
101332,0.671439671,302,524125,186126
101333,0.407095193,302,525067,195987
101334,0.419077739,302,523095,192498
101335,0.632305945,302,525580,189989
101337,0.458046206,302,522624,189086
101338,0.19491365,302,527228,193996
101339,0.98067422,302,521569,190463
101340,0.272571271,302,519803,193439
101341,0.888348386,302,524350,187703
101342,0.278051289,302,520712,191769
137303,0.118516308,302,523787,188927
130998,0.259368759,302,523711,188555
134677,0.949243829,302,521082,191423
140236,0.043540714,302,519590,193724
