urn,apples,la_number,easting,northing
140634,0.944551453,205,523316,179271
100334,0.686876462,205,523607,177859
100335,0.564434525,205,521948,181361
100337,0.139147434,205,523582,177153
100338,0.944943993,205,524416,177532
100339,0.736268525,205,525155,176169
100340,0.794340006,205,521631,179719
100341,0.550873488,205,522318,180664
100343,0.855183998,205,522430,179776
100344,0.486386874,205,524167,176390
100345,0.663618067,205,525175,176754
100346,0.63753729,205,522568,179018
100347,0.903660551,205,524414,177667
100349,0.109520103,205,524468,176864
100350,0.495429263,205,523932,179282
100351,0.532567326,205,523176,178344
100352,0.867391819,205,522274,178492
100353,0.061574805,205,523106,180001
100354,0.298132605,205,521890,179649
100355,0.051370725,205,522736,180735
100357,0.382048986,205,524581,177345
134273,0.491038213,205,524788,177797
136750,0.640334279,205,522432,178536
139364,0.701488869,205,524042,176935
100359,0.687407533,205,522377,180823
139365,0.036296893,205,524106,177335
133545,0.735375278,205,523862,178222
137935,0.105152092,205,523435,178678
138607,0.895437874,205,525134,176562
137157,0.369360606,205,525516,177432
100379,0.587452973,205,522820,181248
100384,0.906017336,206,529985,187573
100385,0.295074043,206,530441,183608
100386,0.936149182,206,530859,186986
100397,0.570307105,206,531678,186560
100401,0.025939693,206,530584,183537
100402,0.718377286,206,531433,185329
100403,0.855975615,206,530146,187006
100405,0.504054014,206,531802,186280
100406,0.677658598,206,530483,186145
100407,0.527657183,206,531982,183273
100408,0.15092321,206,529016,186684
100411,0.165849308,206,531535,184551
100415,0.856056783,206,531942,182766
100418,0.457551668,206,530838,186121
100422,0.572663222,206,530342,184544
100425,0.735539485,206,531173,184131
100426,0.142007044,206,530952,183516
137566,0.433865225,206,531770,184284
100428,0.305325425,206,530634,183172
100429,0.152152603,206,529695,186359
100431,0.595058133,206,532387,185620
100435,0.4576119,206,529995,184974
131218,0.04522873,206,530782,186383
131325,0.984712348,206,532981,185349
131773,0.527608965,206,531811,184603
131842,0.141988191,206,531473,182684
131741,0.744169359,206,530937,186804
131740,0.691802885,206,532543,183917
100436,0.646151679,206,531189,182756
100437,0.096593039,206,530896,185179
100438,0.096177455,206,531600,183377
100439,0.26128233,206,529508,186512
100440,0.290014058,206,531758,186077
100441,0.171189028,206,528892,187162
100443,0.415154893,206,532463,182576
100444,0.52278156,206,530342,186726
100446,0.262790338,206,531845,184012
100447,0.867933608,206,531847,182367
100448,0.899068602,206,530855,183827
100449,0.814369754,206,532024,185906
100450,0.945499116,206,530746,186961
100451,0.489834964,206,530554,183629
137393,0.888158823,206,532215,184031
100458,0.969872343,206,532888,182441
100472,0.435575693,207,524508,181712
100473,0.464442044,207,523612,180946
100474,0.634934152,207,527203,177835
100475,0.558590734,207,524578,181680
140807,0.072008432,207,523612,180946
100477,0.87526765,207,526554,177396
100478,0.823789944,207,523831,181997
100479,0.690742184,207,524414,181794
100480,0.556039038,207,526029,178368
100481,0.422780875,207,524779,181067
100482,0.554407996,207,525233,180251
100485,0.64371801,207,523676,181272
100486,0.905735582,207,526612,177707
100487,0.332645942,207,524052,180593
100488,0.700704671,207,524214,181162
100490,0.30040938,207,528059,178778
100491,0.914566554,207,527141,178427
100492,0.625507532,207,524351,182075
100493,0.423956359,207,525153,179172
100494,0.441630195,207,523827,180762
100495,0.16939218,207,524226,180422
100496,0.425881451,207,527685,178707
100497,0.112081303,207,525573,179680
100498,0.51278808,207,525509,178268
100499,0.633459286,207,524221,182203
100500,0.944224398,207,526204,177810
100502,0.13987095,207,527685,178707
100503,0.837347,207,523952,181650
100504,0.790235846,207,526486,178667
100505,0.178291433,207,523928,181778
100506,0.429551642,207,524213,179844
100548,0.712661855,207,552900,168581
130411,0.449478287,207,523928,181778
100550,0.582172944,208,529788,175189
100551,0.799360311,208,531443,174834
100552,0.310087953,208,531333,178743
100554,0.430554764,208,530740,173735
140908,0.397022056,208,531571,177681
100556,0.18636674,208,530994,177580
100560,0.778905507,208,529473,175582
100564,0.657959403,208,529288,170025
100566,0.961154058,208,529067,176207
100567,0.256815178,208,529164,173386
100572,0.980373883,208,531996,175145
137430,0.820413123,208,531185,179665
100574,0.397402291,208,532856,171503
100576,0.0762742,208,529999,176292
100577,0.668114283,208,533512,170963
100578,0.727508071,208,530256,173786
100584,0.510408489,208,530757,174948
100585,0.57869098,208,530786,171686
100586,0.145121959,208,529567,173153
100588,0.73723547,208,530783,178344
100589,0.497767959,208,531071,178909
100590,0.123426725,208,529774,169818
100591,0.977358902,208,530264,177481
100597,0.707777268,208,532733,172061
100604,0.833953219,208,530243,177187
100608,0.092088442,208,531042,172902
131247,0.385335881,208,529358,174325
131340,0.498848235,208,531580,175364
131335,0.234740859,208,532270,173625
131824,0.351172154,208,531122,172473
131874,0.824805177,208,531198,177886
100582,0.84554301,208,530821,175861
133315,0.86676016,208,530026,174783
133584,0.287201641,208,531716,176212
133662,0.455578751,208,531108,174289
100609,0.203127117,208,531312,178655
100610,0.43181119,208,531482,176949
100611,0.639039828,208,530642,173424
100612,0.385099697,208,528789,175481
100613,0.806703271,208,530518,176047
100614,0.048437212,208,531782,177253
100616,0.657478249,208,531761,174518
100617,0.436486945,208,529711,171437
100618,0.960660067,208,532197,171468
100619,0.604518734,208,530822,177860
100620,0.392446545,208,532228,175575
100621,0.222132753,208,530488,177314
100622,0.284536679,208,530854,173742
100623,0.627693756,208,531142,175926
135614,0.922701047,208,529997,174534
139659,0.080639001,208,531176,179406
136450,0.25257023,208,530694,176630
100628,0.086714619,208,529156,173718
100629,0.853932164,208,530677,177967
137295,0.792441639,208,530706,174698
100631,0.510660794,208,529666,173374
100632,0.015866606,208,530403,171145
100633,0.323240153,208,530019,170582
100634,0.573447644,208,530994,177078
136288,0.647864293,208,530946,176761
100636,0.312212053,208,529453,174993
100637,0.250668972,208,529156,173718
100638,0.817740211,208,530893,171230
100640,0.574542387,208,530917,177632
137966,0.674877846,208,531466,173379
100642,0.003383531,208,531386,180308
100643,0.83440086,208,532287,173727
100667,0.087320963,209,536620,177982
100668,0.506688997,209,536087,175107
100671,0.44135464,209,536254,172024
100672,0.591321824,209,537455,172415
100673,0.648716508,209,540086,173628
100676,0.193230517,209,540545,172843
100677,0.077531205,209,536070,173436
100678,0.584332657,209,536327,178410
100679,0.286757209,209,539164,171810
100680,0.677420806,209,535632,176449
100681,0.901826843,209,537494,171845
100683,0.410641914,209,539371,172482
100685,0.746709097,209,536930,177681
100686,0.270760582,209,536607,171749
100687,0.778825603,209,538752,174369
100688,0.315416549,209,537465,173958
100689,0.452433628,209,536277,175737
100690,0.680700303,209,534761,172179
100691,0.668895729,209,535468,176916
100692,0.860113803,209,540149,171655
100693,0.848045168,209,539350,174478
100695,0.803667513,209,537042,176596
100696,0.164853047,209,541432,171932
100699,0.080724314,209,539405,171393
100700,0.836321468,209,536828,173191
100702,0.370073489,209,539055,173451
100703,0.094098418,209,539055,173451
100704,0.129562963,209,536370,174094
100705,0.818338978,209,536370,174094
137441,0.458481152,209,537350,177243
100707,0.405685376,209,538945,172742
100708,0.905782566,209,538945,172742
100709,0.624867139,209,539376,176050
100710,0.030790521,209,535292,173813
100711,0.188709845,209,534813,172681
100713,0.76087134,209,536827,176434
100714,0.564068147,209,534976,173432
100715,0.391147609,209,535860,172698
100717,0.210886041,209,539672,174662
100718,0.420353161,209,536338,172903
100719,0.813931148,209,539253,176405
100720,0.041202826,209,536414,175169
100721,0.821571842,209,535515,172758
100722,0.845454622,209,539874,171640
100723,0.694627191,209,535188,172518
100724,0.655416083,209,539396,175309
100725,0.130106213,209,537997,171320
100726,0.891016446,209,535296,172015
100727,0.742599795,209,536349,176875
100728,0.580881773,209,538325,171872
100729,0.553349801,209,537224,177395
100730,0.159502648,209,537996,174766
100731,0.342897269,209,536204,171826
100732,0.788210175,209,536259,171533
100733,0.922367684,209,538324,175333
100734,0.053538703,209,537294,176489
100735,0.859350971,209,539444,174637
100737,0.251112583,209,536366,173525
100738,0.501632738,209,539752,173994
100739,0.067329194,209,537933,173402
100753,0.771684427,209,536124,175140
135073,0.383254262,209,535996,176135
100766,0.911185341,209,537621,171451
130416,0.054643822,209,538842,175760
100767,0.563742241,210,533656,179025
100768,0.153274667,210,533573,177117
100769,0.825952135,210,533578,172013
100770,0.99581052,210,534515,176877
100771,0.022008526,210,533239,177431
138270,0.644589524,210,533824,176735
100774,0.016268236,210,535335,179689
100775,0.919457128,210,534099,175989
100780,0.004257991,210,534575,177497
100781,0.616902731,210,532214,179740
100782,0.876321668,210,533624,177958
100783,0.096823551,210,532228,177123
100784,0.691639206,210,531943,178490
100785,0.637250515,210,532360,176513
100786,0.350665711,210,533269,175790
136665,0.34358056,210,532981,174097
100790,0.898428554,210,534340,174098
100791,0.797108937,210,533244,179211
100793,0.006473417,210,533949,174413
100794,0.507890518,210,535369,176100
100795,0.122476515,210,535190,178023
100796,0.02420862,210,535830,175214
140507,0.317146103,210,534743,176680
100798,0.59998642,210,532224,177728
100800,0.368845123,210,531692,178119
100801,0.651385306,210,533366,172068
100802,0.025277602,210,532889,176333
100803,0.834441136,210,532828,177988
137648,0.593202736,210,536369,179935
100808,0.563668292,210,534423,179618
100809,0.536745167,210,532525,178379
100810,0.187938842,210,535484,178762
100811,0.330091094,210,533094,179804
100812,0.51372732,210,534910,179032
100813,0.431163478,210,533570,179825
100814,0.278507143,210,533028,178832
100815,0.286423028,210,532497,178834
100817,0.087868496,210,534192,178136
100818,0.708479703,210,535095,177517
100819,0.804289805,210,535897,179666
100821,0.286718752,210,533566,176849
130918,0.857294229,210,533015,175043
137413,0.522270103,210,534433,177091
131843,0.262909985,210,532820,177188
132022,0.342418045,210,533707,175360
100822,0.357758051,210,533647,178966
100823,0.734647535,210,533016,174251
100824,0.660478093,210,532857,178548
100825,0.647073743,210,533921,176804
100826,0.920003563,210,534323,177446
100827,0.431389722,210,533123,177455
100828,0.722241303,210,531508,179409
100829,0.235386003,210,534223,179425
100830,0.725243208,210,534049,175559
100831,0.802140683,210,532297,178577
100833,0.772454533,210,535330,179141
100834,0.874169336,210,532485,179893
100835,0.34769798,210,531616,179248
100836,0.094145508,210,534646,176177
100837,0.85799676,210,535947,180402
100838,0.966803094,210,532078,178089
100839,0.575837129,210,532484,178081
100840,0.346965374,210,532389,179937
100841,0.705338178,210,536038,179747
134903,0.600658359,210,534641,175729
136298,0.206191192,210,532849,174779
100851,0.024727595,210,535351,174032
100852,0.745576325,210,534062,174062
100853,0.040811098,210,532109,177303
100854,0.630340708,210,532109,177303
100855,0.014224434,210,531739,179767
100816,0.809919557,210,531591,179128
131318,0.230244893,210,533192,178386
100878,0.510996193,210,534130,177566
100879,0.550880849,210,532777,179711
100881,0.2964843,210,534329,178851
100886,0.416343592,211,535568,182775
100887,0.102088119,211,535617,182047
100889,0.835261235,211,535593,182316
137016,0.856631597,211,538006,178555
131936,0.563321256,211,535206,181217
133288,0.007923652,211,535266,183334
134160,0.104503137,211,536787,182835
100892,0.281299951,211,537853,182838
100893,0.367935777,211,533888,181473
100894,0.665552385,211,536206,181504
100895,0.536046641,211,535119,180864
100896,0.854721859,211,536115,183374
100898,0.581894683,211,538254,179195
100900,0.969188227,211,536813,180888
100902,0.604197312,211,535260,182916
100903,0.164472235,211,534743,182456
100906,0.123506972,211,535216,182155
100907,0.229114166,211,534502,182835
100908,0.717388603,211,534427,182833
100912,0.815045586,211,537992,182318
100913,0.913713733,211,537483,181055
100914,0.61834628,211,535051,183434
100915,0.264916863,211,535119,180864
100920,0.553955727,211,537943,181797
137682,0.734179731,211,536504,181262
100922,0.648065621,211,537074,181611
100928,0.396961984,211,538273,180944
100931,0.307896091,211,537259,179545
100932,0.436410271,211,538254,179195
100935,0.759046413,211,534320,180791
100936,0.48617602,211,534344,180251
100937,0.813068924,211,535234,182582
100938,0.567207746,211,536272,181728
100939,0.445480386,211,534732,181144
100940,0.660528248,211,534367,181447
100941,0.633476066,211,535263,181775
100942,0.694183667,211,537579,181154
100943,0.355712481,211,534185,182356
130352,0.285845164,211,537091,179221
131737,0.57983286,211,534299,181195
100944,0.820280349,211,533875,181751
100945,0.371728785,211,536313,182505
100946,0.273318712,211,536632,181305
100949,0.711637108,211,537541,182817
100950,0.57583286,211,534143,182018
100951,0.970551372,211,537362,178752
100953,0.843256755,211,535057,183029
100954,0.519751782,211,538579,178697
100956,0.646114705,211,533939,182322
100958,0.647644529,211,536879,181745
100959,0.459979723,211,534320,180791
100960,0.708780176,211,535063,180371
100961,0.802750829,211,537666,181580
100962,0.490327839,211,533902,181086
137789,0.297206175,211,534008,182708
131023,0.933497297,211,536313,181188
131608,0.311312463,211,537437,182567
100990,0.759681018,212,528360,173530
100991,0.260979043,212,521997,174014
100992,0.520142806,212,526857,176810
100994,0.906275219,212,527840,171331
132077,0.209695943,212,524001,172992
100995,0.240556069,212,528663,173802
140682,0.111407017,212,527035,176960
100996,0.249075035,212,526161,174286
100997,0.38323554,212,526418,173238
137563,0.751700022,212,527681,174732
141303,0.262336451,212,529387,176675
101001,0.237575471,212,524669,175124
101002,0.974159509,212,527103,171838
101003,0.529617716,212,528113,176595
101005,0.39137832,212,526162,172951
101006,0.598836296,212,526881,175971
101007,0.905705918,212,527649,172521
101008,0.341643564,212,528020,171453
101009,0.359313071,212,528505,170892
101010,0.199463521,212,526899,175236
101013,0.071284128,212,523675,175472
101014,0.414759356,212,528402,176123
101016,0.673912352,212,528964,170848
101017,0.752706905,212,528424,173004
101018,0.693225261,212,525248,173488
101019,0.421289125,212,527435,170988
101020,0.973209157,212,528099,176014
101021,0.903310452,212,526650,171795
101022,0.529855877,212,526161,174028
101024,0.887687359,212,525241,174576
101025,0.96390004,212,528515,175503
101026,0.500452298,212,524906,173501
101027,0.927167469,212,524070,173321
101028,0.729454457,212,522909,174502
101029,0.072907388,212,522275,173317
101031,0.544645623,212,524020,173827
101033,0.027759334,212,521816,174000
101034,0.159058478,212,523226,175760
101035,0.235312492,212,527406,175840
101036,0.011089579,212,528154,173676
101037,0.105479236,212,523640,175351
101038,0.523512159,212,522568,173689
101041,0.271890889,212,525950,174606
101042,0.039462504,212,527651,171395
101043,0.22167539,212,526093,174932
101044,0.565763376,212,529322,176967
101045,0.033622508,212,525119,174894
101046,0.636493445,212,523670,175603
101047,0.775550101,212,528296,173119
101048,0.294674748,212,528837,176954
101049,0.480541047,212,524889,173911
101050,0.905204797,212,522257,174642
101051,0.076430898,212,523701,173544
101052,0.836050658,212,528163,172354
131520,0.326623572,212,527416,176084
140985,0.989229649,212,527924,176527
135762,0.188473332,212,527041,176668
101053,0.349373955,212,527431,172548
132173,0.446650451,212,524589,173511
101057,0.847322222,212,528119,171797
101004,0.300791073,212,529388,170794
101012,0.194553361,212,527750,174463
101011,0.711685293,212,527750,174463
101032,0.193472595,212,524238,172951
137005,0.832173953,212,528592,170936
138681,0.422593929,212,523386,174365
101093,0.102219871,212,524284,173151
101094,0.998604932,212,528065,173793
101095,0.959356096,212,639432,167136
101099,0.988646318,212,522805,174823
101102,0.528360304,212,521689,175313
101103,0.433035628,212,526164,172467
131594,0.345392738,212,527169,172937
130422,0.061587035,212,528672,174188
101104,0.98641213,213,529763,178066
101105,0.433401334,213,524835,182642
101106,0.940948951,213,524829,182547
132151,0.566160593,213,527133,182034
137323,0.742313139,213,525556,182007
139824,0.84174389,213,524383,182958
139940,0.196351791,213,529295,178113
101107,0.097251076,213,527092,183132
101108,0.09361884,213,526509,182030
101110,0.686323426,213,525705,181829
101111,0.034218149,213,525311,182561
140050,0.887713249,213,526953,182355
138683,0.708220542,213,529889,178598
101115,0.134348627,213,526535,183794
101116,0.740986851,213,525940,181017
101117,0.074178875,213,527037,183464
101120,0.050512428,213,524394,182467
101121,0.833889326,213,529242,181745
101122,0.858203653,213,529548,179003
101123,0.248371592,213,527459,181362
101124,0.712110919,213,525575,181820
101125,0.354711922,213,525528,183286
101126,0.895957442,213,528421,178462
101127,0.101692876,213,530611,181081
101128,0.027749815,213,527354,182085
101129,0.810697756,213,529064,178013
101130,0.413736724,213,528476,180499
101131,0.051089965,213,529559,180851
101132,0.195653015,213,526422,180910
101133,0.241105781,213,526196,182511
101134,0.464947002,213,524741,183012
101135,0.026613209,213,525683,181957
101136,0.328035791,213,527546,181766
101137,0.822434999,213,525132,181428
101138,0.140564838,213,529827,179261
101139,0.467558449,213,525183,182121
101140,0.424503417,213,528736,179092
101141,0.90158737,213,525889,182081
101142,0.50129412,213,525274,181553
101143,0.750330789,213,528270,181584
101144,0.037191455,213,529206,179068
101146,0.172654117,213,529777,178296
101147,0.30631476,213,527312,181875
137353,0.347720916,213,528296,181984
132816,0.772326745,301,547792,184149
101186,0.316722552,301,547691,184072
140687,0.345677844,301,546744,185292
101188,0.168014384,301,546774,185234
101189,0.21670657,301,545822,184040
101189,0.011429332,301,545822,184040
101189,0.205862964,301,545822,184040
101189,0.701079836,301,545822,184040
101192,0.655832763,301,545828,184731
101193,0.647353331,301,545828,184731
101196,0.042624485,301,544013,184537
101198,0.622002329,301,545104,183966
138684,0.936410566,301,546165,183070
101202,0.201569926,301,550210,183257
101203,0.967342866,301,548410,188015
101206,0.560370598,301,548487,186607
101210,0.879858144,301,548194,189545
101211,0.040915036,301,549365,183556
101212,0.502625448,301,550976,187161
101216,0.874857689,301,550461,184093
101219,0.920985632,301,548573,188552
101220,0.003790289,301,548866,184187
101222,0.398548763,301,547891,186499
101223,0.867500315,301,549383,184397
101224,0.390720575,301,548069,189608
101226,0.279269289,301,549437,186675
101227,0.029644723,301,548794,184928
101228,0.380682712,301,548829,186204
101229,0.500620038,301,547581,186917
101230,0.50546441,301,547522,185528
101231,0.830669559,301,546884,186340
101232,0.831359603,301,550639,184798
130357,0.024309647,301,549230,185430
130340,0.152532769,301,546880,183956
130919,0.903380333,301,548443,184276
131844,0.569830707,301,549595,185391
131845,0.380084842,301,548106,185779
131775,0.034501379,301,544442,183568
101233,0.386209513,301,544043,184012
101234,0.165882552,301,549383,184397
101235,0.719122246,301,544156,183775
101236,0.962826283,301,548737,185898
101237,0.069387677,301,548838,183622
101238,0.335450649,301,547411,185611
101239,0.443954054,301,547206,186684
136431,0.664219898,301,546391,182286
141178,0.120639524,301,548476,188616
101241,0.638618332,301,545828,184731
101245,0.620346032,301,548825,186950
101247,0.593853366,301,549215,187064
131102,0.05079282,301,549068,185966
101251,0.642799725,302,527087,195626
101252,0.786422969,302,528689,194167
101253,0.806482989,302,525668,191761
101254,0.636101137,302,526828,196062
101255,0.646223503,302,526783,194420
136938,0.171392018,302,522029,192076
101258,0.286811512,302,520286,190526
101259,0.967731744,302,523677,189134
101262,0.573058242,302,525598,189486
101263,0.514826144,302,525598,189486
101264,0.304949463,302,528271,194004
101265,0.070493832,302,524390,186337
101266,0.240170796,302,527487,194545
101269,0.870893705,302,521535,189221
101270,0.514059154,302,528083,190944
101271,0.936909231,302,521053,193499
101272,0.14132223,302,526107,196508
139489,0.886732079,302,520522,191904
101274,0.00920009,302,520522,191904
101275,0.141091663,302,523053,191451
101277,0.259813836,302,519523,191548
101278,0.843044065,302,520747,193496
101279,0.202877257,302,523906,196826
101281,0.015568341,302,524978,188877
101282,0.094600114,302,524978,188877
101283,0.619405586,302,520791,190910
138649,0.503495073,302,525422,195265
101285,0.690001257,302,528626,191205
101286,0.696955126,302,528107,192524
101289,0.751780487,302,526921,196783
101290,0.570639796,302,526076,190672
139633,0.254720988,302,522584,187917
101293,0.790768147,302,528377,194732
101294,0.610514563,302,525719,191679
101295,0.968860802,302,525719,191679
101296,0.048291281,302,526149,192370
139817,0.820591209,302,521470,188530
101297,0.080221331,302,526931,191657
101298,0.499869733,302,525135,193224
101299,0.078658892,302,526318,190626
101301,0.634893862,302,524264,195593
101304,0.595173022,302,523382,195582
101309,0.801081648,302,524324,189626
101311,0.164105473,302,522591,189509
101312,0.910512393,302,526761,193616
101313,0.986196595,302,526761,193616
101314,0.423988501,302,527502,195470
131617,0.025247839,302,524174,187396
131970,0.48115912,302,521550,191400
133365,0.487945022,302,520792,189548
101315,0.726186641,302,524872,186340
101316,0.365034077,302,523772,197077
101317,0.498330007,302,526979,189621
101318,0.208807468,302,525232,197563
101319,0.464101419,302,527783,192497
101321,0.665298658,302,526280,193561
101323,0.642233523,302,524746,190949
101324,0.529340694,302,527317,195180
101325,0.83231771,302,528581,192454
101326,0.911915447,302,522534,192785
101327,0.436062446,302,524931,193894
101328,0.920932833,302,527895,196294
101329,0.010977673,302,526917,193833
101330,0.549031052,302,520591,190759
101331,0.285022034,302,526420,190952
101332,0.523322583,302,524125,186126
101333,0.29379213,302,525067,195987
101334,0.427408489,302,523095,192498
101335,0.197678241,302,525580,189989
101337,0.913558253,302,522624,189086
101338,0.210636649,302,527228,193996
101339,0.879735034,302,521569,190463
101340,0.859040485,302,519803,193439
101341,0.811771215,302,524350,187703
101342,0.438215651,302,520712,191769
137303,0.500620791,302,523787,188927
130998,0.277944356,302,523711,188555
134677,0.22814465,302,521082,191423
140236,0.969738838,302,519590,193724
